trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.4999999999999998, 'e': 0.6899999999999997}",25,0,-28.03818195682487,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
63,False,"{'a': 0.4999999999999998, 'e': 0.6849999999999997}",30,9,-100.80306607418454,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 1}",1
64,False,"{'a': 0.4999999999999998, 'e': 0.6799999999999997}",20,6,-20.933399488618864,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
65,False,"{'a': 0.4999999999999998, 'e': 0.6749999999999997}",30,0,-48.31322262819128,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
66,False,"{'a': 0.4999999999999998, 'e': 0.6699999999999997}",30,11,-25.34756400208104,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
67,False,"{'a': 0.4999999999999998, 'e': 0.6649999999999997}",20,0,-81.73171442150414,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 0.4999999999999998, 'e': 0.6599999999999997}",20,0,-81.56118415508273,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
69,False,"{'a': 0.4999999999999998, 'e': 0.6549999999999997}",25,2,-34.000190554180655,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
70,False,"{'a': 0.4999999999999998, 'e': 0.6499999999999997}",20,0,-104.63761421548507,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
71,False,"{'a': 0.4999999999999998, 'e': 0.6449999999999997}",25,0,-53.15261046282018,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
72,False,"{'a': 0.4999999999999998, 'e': 0.6399999999999997}",25,6,-35.29595710410306,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.4999999999999998, 'e': 0.6349999999999997}",25,0,-31.883240797100875,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
74,False,"{'a': 0.4999999999999998, 'e': 0.6299999999999997}",20,0,-16.881495592024578,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.4999999999999998, 'e': 0.6249999999999997}",20,6,-83.2559049908015,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
76,False,"{'a': 0.4999999999999998, 'e': 0.6199999999999997}",25,4,-126.23670943993936,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 2}",1
77,False,"{'a': 0.4999999999999998, 'e': 0.6149999999999997}",20,13,8.393808155982368,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.4999999999999998, 'e': 0.6099999999999997}",30,7,-23.206052096384816,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 0}",1
79,False,"{'a': 0.4999999999999998, 'e': 0.6049999999999996}",35,0,-53.79095405094729,"{0: 27, 1: 0, 2: 7, 3: 1, 4: 0}",0
