trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.4999999999999998, 'e': 0.07730474044329974}",20,10,17.79216416079849,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.4999999999999998, 'e': 0.07577400402284548}",25,17,15.096886372945235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.4999999999999998, 'e': 0.07427357821433388}",20,14,9.520330610387372,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.4999999999999998, 'e': 0.07280286282743559}",35,14,38.53201161669484,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.4999999999999998, 'e': 0.07136126955638605}",20,16,7.956456508888342,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.4999999999999998, 'e': 0.06994822174465536}",25,0,39.3547648057729,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.4999999999999998, 'e': 0.06856315415427791}",20,11,17.26375724280801,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.4999999999999998, 'e': 0.06720551273974976}",20,10,19.838235595334577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.4999999999999998, 'e': 0.06587475442640295}",25,16,13.835122329065747,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.4999999999999998, 'e': 0.06457034689316847}",30,20,15.262043965840641,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.4999999999999998, 'e': 0.0632917683596407}",25,11,27.38042195511,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.4999999999999998, 'e': 0.06203850737735829}",30,17,9.15775784624405,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.4999999999999998, 'e': 0.06081006262521795}",20,14,12.468170342133119,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.4999999999999998, 'e': 0.05960594270893937}",20,6,25.60074504265529,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.4999999999999998, 'e': 0.05842566596450083}",25,11,-16.340872938589243,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.4999999999999998, 'e': 0.05726876026546736}",25,7,28.90869248795336,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.4999999999999998, 'e': 0.056134762834133725}",35,17,34.57259975353897,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.4999999999999998, 'e': 0.05502322005640723}",25,0,41.86989296610766,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.4999999999999998, 'e': 0.05393368730035602}",25,11,24.275116760607688,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.4999999999999998, 'e': 0.05286572873835037}",30,21,17.941824519475993,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.4999999999999998, 'e': 0.05181891717272583}",20,10,13.767357223385796,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.4999999999999998, 'e': 0.0507928338648985}",20,10,14.54662535903023,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.4999999999999998, 'e': 0.049787068367863944}",20,13,12.778823756358165,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.4999999999999998, 'e': 0.04880121836201296}",25,10,32.13550952531904,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.4999999999999998, 'e': 0.04783488949419837}",25,12,28.810072580299014,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.4999999999999998, 'e': 0.046887695219988486}",20,14,13.176336794465701,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.4999999999999998, 'e': 0.045959256649044204}",20,2,-17.705739408228474,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.4999999999999998, 'e': 0.0450492023935578}",30,9,19.383512508738775,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.4999999999999998, 'e': 0.04415716841969286}",30,20,18.91649219749407,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.4999999999999998, 'e': 0.043282797901965896}",20,14,14.201843858412811,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.4999999999999998, 'e': 0.042425741080511385}",30,17,19.31839503372713,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.4999999999999998, 'e': 0.04158565512117316}",35,18,30.800998933129,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.4999999999999998, 'e': 0.04076220397836621}",20,12,9.088466581438908,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.4999999999999998, 'e': 0.039955058260653896}",20,10,4.583707716446932,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.4999999999999998, 'e': 0.039163895098987066}",25,0,-47.330275180259896,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
164,False,"{'a': 0.4999999999999998, 'e': 0.038388398017552054}",20,12,13.963433548172501,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.4999999999999998, 'e': 0.0376282568071762}",25,16,-24.0124176838183,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.4999999999999998, 'e': 0.036883167401239994}",25,0,-5.903292537191459,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
167,False,"{'a': 0.4999999999999998, 'e': 0.03615283175404641}",25,7,32.30376657219031,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.4999999999999998, 'e': 0.03543695772159864}",25,14,20.301441260736283,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.4999999999999998, 'e': 0.03473525894473856}",25,16,20.67678778412943,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.4999999999999998, 'e': 0.034047454734599344}",30,12,32.68575615747772,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.4999999999999998, 'e': 0.03337326996032608}",25,0,-5.432558747141205,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.4999999999999998, 'e': 0.03271243493901982}",25,12,24.537380550832342,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.4999999999999998, 'e': 0.03206468532786077}",25,10,-27.182022025065244,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
174,False,"{'a': 0.4999999999999998, 'e': 0.03142976201836771}",20,8,22.35240172289253,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.4999999999999998, 'e': 0.030807411032751076}",30,18,8.82171212216255,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.4999999999999998, 'e': 0.0301973834223185}",20,8,21.219666947376687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.4999999999999998, 'e': 0.029599435167892}",20,6,26.275416567811778,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.4999999999999998, 'e': 0.029013327082197053}",25,20,9.334617437970241,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.4999999999999998, 'e': 0.028438824714184505}",25,4,34.93287480262425,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.4999999999999998, 'e': 0.027875698255247015}",25,11,26.667504463871982,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.4999999999999998, 'e': 0.02732372244729256}",30,16,20.63163726773004,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.4999999999999998, 'e': 0.026782676492638175}",25,11,28.27405370111264,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.4999999999999998, 'e': 0.02625234396568796}",25,14,20.07428127305812,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.4999999999999998, 'e': 0.02573251272635994}",25,7,27.737708016320585,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.4999999999999998, 'e': 0.025222974835227212}",20,1,31.187605447078834,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.4999999999999998, 'e': 0.024723526470339388}",25,14,21.663149579890202,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.4999999999999998, 'e': 0.024233967845691113}",20,16,6.868326753471122,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.4999999999999998, 'e': 0.023754103131304997}",30,12,31.93789765528124,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.4999999999999998, 'e': 0.023283740374897}",25,16,17.706947058831,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.4999999999999998, 'e': 0.02282269142509297}",20,9,21.561266418860708,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.4999999999999998, 'e': 0.02237077185616559}",20,2,24.21353047309745,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.4999999999999998, 'e': 0.02192780089426161}",20,8,18.46180277202645,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.4999999999999998, 'e': 0.021493601345089923}",30,20,21.574159409574087,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.4999999999999998, 'e': 0.021067999523041434}",25,0,40.56353949238655,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.4999999999999998, 'e': 0.020650825181712566}",20,10,19.930172632237152,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.4999999999999998, 'e': 0.02024191144580439}",25,7,31.718082263167545,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.4999999999999998, 'e': 0.019841094744370288}",35,9,42.36522428681472,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.4999999999999998, 'e': 0.01944821474538539}",20,14,13.79699808161207,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.4999999999999998, 'e': 0.019063114291611637}",20,0,13.78900755624294,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
200,False,"{'a': 0.4999999999999998, 'e': 0.018685639337732773}",25,13,22.008722019187324,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.4999999999999998, 'e': 0.01831563888873418}",25,7,34.45171173033858,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.4999999999999998, 'e': 0.01795296493950285}",20,16,9.258640922650391,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.4999999999999998, 'e': 0.017597472415623393}",20,12,14.097740151477307,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.4999999999999998, 'e': 0.017249019115346265}",20,3,-11.55480148442412,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
